0,1,2
,CLASS,Primary/ Basic 1
,SUBJECT,Cultural and Creative Art
,TERM,Third Term
WEEKS,TOPICS,Learning Objectives
1,Readiness test -Ceremonies,"By the end 0f the lesson, pupils should be able to: i. mention / explain each types of ceremonies; ii. explain the important value derive from ceremonies."
2,Drawing of different weaving items,By the end of the lesson pupils should be able to: i. explain the meaning of weaving item; ii.identify different Vpes of weaving items; iii. take part in goup work i.e. drawing of weaving item.
3,"Singing -Ear training, using tonic solfa singing",By the end of the lesson pupils should be able to: i. identify and pronounce the solfa tonic correctly; ii. revise the previous tonic solfa song correctly; iii. pronounce the difficult words in the song correctly; iv. sing the song fluently.
4,Body make – up – Part of the body to be beautify -Materials for make – up.,"By the end of the lesson, pupils should be able to: i. mention parts of the body to be beautified; ii. identify materials to decorate different part of the body."
5,Body make – up,"By the end of the lesson, pupils should be able to: i. explain the meaning of body make – up; ii. list types of make – up iii. explain the importance of make-up iv. apply make – up to the part of the body neatly and correctly."
6,Colours -Primary colours and national colours,"By the end of the lesson, pupils should be able to: i. identify objects around thc class with their colours: ii. identify and explain the meaning of primary colours; iii. describe Nigeria national colours; draw Nigeria flag."
7,MID TERM BREAK,MID TERM BREAK
8,Body make-up materials,"By the end of the lesson, pupils should be able to: i. recall the part of body and beautification of the body; ii. explain the meaning of local make — up iii. beautification of the body."
9,Types of dance,"By the end of the lesson, pupils should be able to: i. state some activities that include dance in the school; ii. state the steps in dance; iii. demostrate dance with the correct stepping and body movement."
10,Music as a tool for recording,"By the end of the lesson, pupils should be able to: i. discuss a previous event observed in the school ii. discuss a story heard from parent; iii. listen to the teacher while teaching them the meaning of keeping records with music. iv. listening to CDs telling stories of important past events e.g Nigeria independent."
11,REVISION,REVISION
12&13,REVISION/EXAMINATION,REVISION/EXAMINATION
