0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Information Technology
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,REVISION OF TERM WORK,REVISION OF TERM WORK
2,Setting of a computer -Definition a workstation -Procedures of setting up a workstation,"At the end ofthe lesson, pupils should be able to: i. describe the term”Workstation” and execute the procedures in setting up a workstation"
3,Setting up of a computer -Definition a workstation -Procedures of setting up a workstation,"At the end ofthe lesson, pupils should be able to: -Describe the term”Workstation” and execute the procedures in setting up a workstation"
4,Identification of Icons and theirs uses -Recycle bin -Windows start up File explorer -Media player icon Browser icon etc.,Pupils should be able to: i. Identifythe icons on the monitor and articulate their uses.
5,Identification of Icons and theirs uses -Recycle bin -Windows start up -File explorer -Media player icon -Browser icon etc.,"At the end of the lesson, pupils should be able to: i. Identification of Icons and theirs uses -Recycle bin -Windows start up -File explorer"
6,Classification of computers by size -Mainframe -Super,"At the end ofåe lesson, pupils should be able to i. Explain mainframe and super computers"
7,MID.TERM ASSESSMENT,MID.TERM ASSESSMENT
8,Classification of computers by size -Mainframe -Super,"At the end of the lesson, pupils should be able to: i. Explain mainframe and super computers"
9,Classification of computers by size -Mini -Micro,"At the end of the lesson, pupils should be able to: i. Explain mini and micro computers"
10,Classification of computer by size -Mini -Micro,"At the end of the lesson, pupils should be able to: i. Explain mini and micro computers"
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
