0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Civic Education Education Scheme of Work for Primary/Basic 2,Civic Education Education Scheme of Work for Primary/Basic 2,Civic Education Education Scheme of Work for Primary/Basic 2
,CLASS,Primary/Basic 2
,SUBJECT,Civic Education
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Revision/importance of civic education,Pupils should be able to i. discuss some topics taught last term ii.explain civic eduaction and the importance of civic education iii. identify the advantage of civic education
2,Why study civic education,Pupils should be able to i. explain civic education ii. identify the reason for the study of civic educatiion iii. discuss the reason why they study civic education at school
3-4,Component of civic Educadon -Right and duties Democratic practices Community -Values,Pupils should be able to: i. Explain component of civic educaåon ii. Identify component of civic educadon iii. Describe where and how civic education take place
5,Importance of Civic Eduaction to development,"By the end of this lesson, pupils should be able to: i.discuss the importance of civic education to national development ii. discuss and describe the institution of government democratic process iii. identify acquired skills for national development"
6,"Importance of Civic Eduaction to development. contd. Civic engagement in the political, social and economic process","By the end of this lesson, pupils should be able to: i. highlightt the importance of civic education to national development ii. explain the role of civic education in political process iii.social process-economic process iv. identify the importance of having political leaders in the society"
7,MID TERM BREAK,MID TERM BREAK
8,"Honesty -meaning -the imporatnce of telling the truth always -reward of honesty e.g praise, gift, promotion etc. – punishment of dishonesty e.g shame, beating, disgrace etc.","By the end of this lesson, pupils should be able to i. explain the meaning of honesty ii. identify the importance of telling the truth always iii. outline the reward of honesty iv. describe the punishment of dishonesty"
9,"Courtesy, politeness and etiquette -meaning -treating other people with courtesy and proper behavior in the street, buses, trains and queues","By the end of this lesson, pupils should be able to: i. Identify their roles in the society as regarding courtesy and politeness ii. Outline ways to be responsible in the public"
10,Revision,Revision
