0,1,2
,CLASS,Primary/Basic 3
,SUBJECT,History
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,REVISION,-General revision of all the work of primary three second term and exaniination
2-3,TOWNS AND SETTLEMENTS IN NIGERIA -Compound -Community -Village -City,"By the end of the lesson, pupils should bc able to: 1. Give the meaning of a compound; 2, Explain the meaning of a community; 3, Describe a village; 4, Explain what is a city; 5. Examine what is a city; 6. Relate the features of these concepts"
4-5,"SETTLEMENTS IN LAGOS (ANCIENT) -Ancient settlements Features of ancient settlements -Origin of ancient settlements in lagos State -Importance of these settlement. -Socialization of ancient settlement in Lagos State. -Types of settlements i.e. Villages, towns, e.t.c.","By the end of the lesson, pupils should be able to 1, Define ancient settlements; 2. Outline the features of ancient settlements; 3. Mention ancient settlements in Lagos State, 4. Explain the origin of these ancient settlements; 5. Examine the importance of these ancient 6.Relate socialization of ancient setdements in Lagos State; 7. Classify the set-dements in Lagos State into types."
6,"SETTLEMENTS IN LAGOS STATE (MODERN) -Towns, cities, e.tc. -Modern settlements -Features of modern settlements -Modern settlements in -Lagos State. i.e. Festac Town, Apapa, Ikoyi,Ghagada, Lckki, Satelite Town, e.t.c -Importance of these modern settlements. -Origin of these modern settlements -Socialization in modern settlements in Lagos State. -Types of modem settlements – towns, cities, Urban, sub urban, Gheto, e.tc.","By the end of the lesson, pupils should be able to: 1. Explain the meaning of modern settlements; 2. Describe the features of modern settlements 3. Mention modern settlements in Lagos State; 4. Explain the importance of these modern settlements; 5. Discuss the origin of thcsc m0dern settlements in Lagos State; 6. Examine the socialization in modem settlements in Lagos State; 7. Categoise modern settlements in Lagos State."
7,MID TERM BREAK,MID TERM BREAK
8-9,"SETTLEMENTS IN NIGERIA (ANCIENT) Ancient towns in Nigeria i.e. Daura, Ile-ife, Gboko, Aba, Idah, Okene, Lokoja, Oturkpo, Benin, Oyo, Badagry, Kukawa, Calabar, Nsukle, e.tc -Features of ancient towns in Nigeria -Origins of ancient towns in Nigeria -Socialization in ancient towns in Nigeria. -Importance of ancient towns and settelments in Nigeria.","By the end of the lesson, pupils should be able to: 1. List some ancient towns in Nigeria; 2. Write the features of ancient towns in Nigeria; 3. Relate the origins of the ancient towns and settlement in Nigeria; 4. Research on the importance of ancient towns in Nigeria"
10,"TOWNS SETTLEMENTS IN NIGERIA (MODERN) -Modern settlements -Some modern settlements in Nigeria. i.e. Abuja, Enugu, Port harcourt, Onne, Kaduna, Jos, Yola, Akure, etc. -Origins of these modern settlements and towns in Nigeria. -Reasons f0r their establishment -Socialization in the modern towns and settlements in Nigeria – Importance of modern towns and settlements in Nigeria,","By the end of the lesson, pupils should be able to: 1. Explain the meaning of modern settlements; 2. List some modern settlements in Nigeria; 3. Examine the origins of these modern settlements and towns in Nigeria; 4. Explain why these modern settlements and towns in Nigeria were establisheu 5.Tell the socialization in the modern towns and settlelncnts in Nigeria 6, Relate the importance of modern towns and settlements in Nigeria,"
11,REVISION,General Revision of the work of the term
12,EXAMINATION,EXAMINATION
