0,1,2
,CLASS,Primary/Basic 5
,SUBJECT,Basic Science and Technology
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,REVISION AND READINESS TEST,
2(Basic Science),ACID AND BASES: -Meaning of acid and -Examples of acids and -Types of acid and bases. -Differences beåyeen acid,"By the end of the lesson, pupils should be able to: i. develop a meaning for acids and bases; ii. state some examples of acids and bases; iii. Identify types of acids and bases; iv. distinguish between acid and bases."
PHE,Nutrition,"By the end of the lesson, Pupils should be able to: i. discuss concept of food and nutrition. ii. mention sources of food nutrient iii. highlight the nfritional deficiency diseases iv. investigate the characteristics of these deficiency disease"
IT,Digital literacy -Definition -Components -Importance -Copyrüht and plagiarism,"By the end of the lesson, pupils should be able to: i. Define digital literacy ii. Explain copyright and plagiarism iii. Outline the components and iv. Importance of digital literacy"
3(Basic Science),ACID AND BASES: -Materials used in making soap. -active ingredients in the local materials used in making soap. -Make soap from local materials -Uses of soap.,"By the end of the lesson, pupils should be able to: i. Explain the meaning of Soap and detergents; ii. Mention Local materials used for making soap; iii. Identify the active ingredient in the local materials used in making soap; iv. enumerate the uses of soap."
PHE,Food and Nutrition,"By the end of the lesson, Pupils should be able to: i. mention the food nutrient ii. explain the effects of family size on nutrition iii. investigate the characteristics of nutritional deficient person"
IT,Digital literacy -Definition -Components -Importance -Copyright and plagiarism,"By the end of the lesson, pupils should be able to: i. Define digital literacy ii. Explain copyright and plagiarism iii. Outline the components and iv. Importance of digital literacy"
4(Basic Science),Basic Electricity: -Types of electricity (static and current). -Methods of generating electricity.,"By the end ofthe lesson, pupils should be able to: i. define electricity ii. identify and explain types of electricity. iii. discuss how electricity is generated. iv.discuss the importance of electricity in everyday life"
PHE,Martial Art History of Judo,"By the end of the lesson, Pupils should be able to: i. discuss brief history of judo ii. itemize equipment of Judo iii. analyze the importance of judo iv. demonstrate judo skill"
IT,Cyberbullying -Definition -Forms of cyberbullying -Ways of dealing with Cyerbullying,"By the end of the lesson, pupils should be able to: i. Define cyberbullying ii. Outline the forms and ways of cyberbullying"
