0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Yoruba
,TERM,Third Term
OSE,ORI ORO,Erongba
1,"Ede, Asa Literaso Idanwo kini ka’abo si saa keta","Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Dahun Ibeere iwaju won ii. Se atunse ti oye lati gabradi fun isa keta"
2,Agebeyewo Ise sa keji,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Ye awon eko saa keji wo yekeyeke ii. Dahun Ibeere abe iyewo"
3EDE,Onka ni ede Yoruba 51-70,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Ka onka na daradara ii. Salaye idi ati eyo iii. Dahun Ibeere abe eko"
ASA,Awon osu ninu odun,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Ka awon osu ni ede Yoruba ii. Pe awon osu ni okan-o-jokan iii. Ko orin to ro ma awon osu na"
LIT,Ewi omode ija kodara ilewe,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Ka ewi omode ni ika agbadun ii. Fa koko inu ewi naa yo iii. Dahun Ibeere abe eko"
4EDE,Owe ni ile Yoruba,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Pe awon owe kee kee kee ii, So itunmo owe ti won pa iii.Dahun Ibeere abe eko"
ASA,"Ise ile Yoruba: Agbe, Ode, Aro-dida","Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Daruko orisirisi ise ile yoruba ii. So ni soki isele okokan won iii. Dahun Ibeere abe eko"
LIT,Orin omode -We ki o’ mo – abe igi orombo,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Ko awon orin omode naa ii. Fa eko ti orin naa kowa iii. Se ere omode na"
5EDE,Silebu Ede -Oro meji ati meta,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. pi awon oro si silebu ii. So pato ohun ti silebu tumo si iii. Dahun Ibeere abe eko"
ASA,"Ounje ile Yoruba: Amala, eba, eko, iyan","Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Daruko awon ounje ile Yoruba ii. So pato ohun ti ounje se lara iii. Dahun Ibeere abe eko"
LIT,Alo onitan,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Pa alo onitan daradara ii. Fa koko ninu alo naa yo iii. Dahun Ibeere abe eko"
6EDE,onka ni ede Yoruba 71-90,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Ka onka naa daradara ii. Salaye idi ati eyo ninu onka na iii. Dahun Ibeere abe eko"
ASA,Äwon ÄwÔ (2) -Onipele keji,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Daruko awon awo ti a ni ii. Salaye abajade adapo awo meji ayorisi iii. Dahun Ibeere abe eko"
LIT,Itan Aroso,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. So itän ärôso ii. Fa koko ninu iwe itan naa yo iii. Dahun Ibeere abe eko"
7,"Agbeyewo eko Ise idaji saa keta Lori Ede, Asa, ati Literaso","Agbeyewo eko Ise idaji saa keta Lori Ede, Asa, ati Literaso"
8EDE,"Fáweli ědě Yorübá a, e, e, i, o, o, u An en in on un","Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Ka fáwééli airánmúpě ii. Ka fáwééli äiránmúpě iii. Dáhůn ibéěrě abé ëkó"
ASA,Awon Eso (2),"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. äwon ëso jíje ii. So ise pataki eso jije iii.Dáhůn Ibéěrë abé ëké"
LIT,Alo Onitän,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. So äló tí kô lórin ii. Fa kókó inuĺ eko jáde iii. Dáhůn ibéěrě abé ëkó"
9EDE,Awon Ami ohůn (1),"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Ka iye äwon ami Isirô ii. Se Idámo okôokan wan iii. Dáhůn ibéěrě abé ëkó"
ASA,Aso wiwô,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Dárúko orisirisi aso ni ile Yorubá ii. So äwon Iwűlô aso wiwo iii. Dáhůn ibéěrě abé ëkó"
LIT,Ere Onise Eré dára púpé,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Se eré tí ó ni itumo ii. So ohun tí eré náä dá Ié lőrĺ iii. ko eké nínú eré náa"
10EDE,()nkä ni édë Yorubá 81-100,"Ní Opin Idánilekôo, Akékôo Yoô Lě; i. ka äti ko ônkä náa ii. Se Idámo Idi äti eyo nínú ônkä náä iii. Dáhůn ibéërë abé ëko"
ASA,Awon Awì (3) Onipele keta,"Ní Opin Idánilekôo, Akékôo Yoô Lě;; i. Sàlàyé àwo onipele keta ii. Sàlàyé àbajade àdàpò àwo méji àyorisi iii. Dáhůn ibéěrě abé ëkó"
LIT,"Orin omode Wè ki omo, ,","Ní Opin Idánilekôo, Akékôo Yoô Lě; i. Ka àwon orin omodé ni daradara ii.Fa èko ti orin nà kowa iii. Se eré omodé naà"
