0,1,2
,CLASS,Primary/Basic 6
,SUBJECT,Physical and Health Education
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,REVISION AND READINESS TEST,
2,Hockey Game,"By the end of the lesson, pupils should be able to: 1. narrate brief history of hockey 2. compare between facilities and equipment in Hockey and other ball games 2. demonstrates basic skills in hockey ball game 3. investigate the advantages playing hockey game 4. recommend the safety measure in playing football game"
3,Table Tennis Game,"By the end of the lesson, pupils should be able to: 1. discuss brief history of Table Tennis 2. categorize types of facilities and equipment in Table Tennis 3. design a Table Tennis board. 4. demonstrates basic skills and techniques of Table Tennis game"
4,Mentenance of sports facilities and equipment,"By the end of the lesson, pupils should be able to: 1. differentiates between sports facilities and equipment 2. list sports facilities and equipment 3. investigate reasons for keeping sports facilities and equipment"
5,Physical Fitness,"By tie end of the lesson, pupils should be able to: 1. disauss the concept of physical Fitness 2. list the components of Physical fitness. 3. Differentiate between health and performance related physical components"
6,Physical Fitness,"By the end of the lesson, pupils should be able to: 1. demonstrates physical fitness enhancement activities e.g. Jogging, sit and reach, squat jump, frog jump, bench dip, V-sit, elbow balance 2. identify fitness enhancement activiies 3. investigate the benefits of fress enhancement activities such as: power, agility, flexibility and balance"
7,MID TERM BREAK,
8,Gymnastics,"By the end of the lesson, pupils should be able to: 1. discus definition of gymnastics. 2. identify types of gymnastics activities e.g. agility/floor activities, stunts etc. 3. execute gymnastics activities"
9,Gymnastics avtivities with aparatus,"By the end of the lesson, pupils should be able to 1. describe gymnastic activities with aparatus 2. demostrate gymanstic activities with aparatus e.g rope, skipping 3. execute gymnastic activities with aparatus e.g walking on beam, rope climbing"
10,Recreation,"By the end of the lesson, pupils should be able to: 1. discuss definition of recreation 2. identify the two components of recreation 3. analyze between indoor and outdoor recreation 4. tabulate indoor and outdoor recreation"
11,Introduction to Direction -Four cardinal point,"By the end of the lesson, pupils should be able to: 1. describe four cardinal point 2. design four cadinal point 3. give Significance of four cardinal poins"
12,REVISION,
13,EXAMINATION,
