0,1,2
,CLASS,Primary/Basic 1
,SUBJECT,Social Studies
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Revision of last term work.,pupils should be able to recall last term’s work.
2,Reason for Taking Substance into the Body,"By the end of the lesson, pupils should be able to: i. state the meaning of substance; ii. explain im their own language what substance is; iii. Give examples of substance."
3,Reasons for taking substances into the body,Pupils should be able to: i. mention three reason each for taking substances into the body.
4,Effects of taking substances into the body,"By the end of the lesson , pupils be able to: i. pupils should be able to state at least two effects of taking substances into the body"
5,Meaning of overdose symptoms of overdose,"By the end of the lesson , pupils be able to: i. state the meaning of overdose ii. demonstrate the looks and behaviours of people who take too much food, drinks and smoke."
6,OVERDOSE EFFECT,Pupils should be ablc to: i. mention at least three effect of overdose
7,MID TERM TEST/MIDTERM BREAK,MID TERM TEST/MIDTERM BREAK
8,How to help people suffering from food or drug overdose.,"Pupils should be able to: i. suggest ways to help people suffering from too much eating, drinking or inhaling."
9,Food -meaning of food -type of food we eat in our locality – sources of food,"By the end ofthe lesson, pupils should be able to; i. mention any food as they can that are found in our locality."
10,Food safety Meaning of food safety,Pupils should be able to Define food safety Explain what is food safety
11,REVISION AND EXAMINATION,REVISION AND EXAMINATION
12,REVISION AND EXAMINATION,REVISION AND EXAMINATION
