0,1,2
,CLASS,Primary/Basic 6
,SUBJECT,Civic Education
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Revision of last term’s work readiness qest/ concept of national values,
2,Types of values that promotes peace,"By the end of the lesson pupils should be able to: 1. Mention and explain at least Five (5) types of values that promote peace. Honesty, Tolerance, Respect. 2. Explain types of national value that promotes peace 3. demonstrate"
3,Continuation of (wk3) -Types of values that promote peace,"By the end of the lesson pupils should be able to: 1. Mention: -Self-control, -Moderation, -Comprotment 2. Explain national values that promotes peace 3. Bring out the benefit of having values"
4,-Concept of cooperation,By the end of the lesson pupils should be able to: 1. Explain the 2. Meaning of cooperation 3. Mention the attribute of cooperation 4. Describe the attribute of cooperation. -Communal efforts -Shared responsibilities -Willingness to assist -National unity
5,Concept of tolerance.,By the end of the lesson pupils should be able to: 1. Define tolerance 2. Demonstrate tolerance 3. Identify characteristics of tolerance
6,-Concept of forgiveness,By the end of the lesson pupils should be able to: 1. Define forgiveness 2. Mention attributes of forgiveness 3. Explain attributes of forgiveness
7,Mid Term Break,
8,Concept of Self control,By the end of the lesson pupils should be able to: 1. Explain the meaning of self-control 2. Highlight characteristics of self-control 3. Demonstrate self-control
9,Concept of moderation,By the end of the lesson pupils should be able to: 1. Define moderation 2. Explain the meaning of moderation 3. State the characteristics of moderation
10,Concept of Compassion.,By the end of the lesson pupils should be able to: 1. Explain compassion 2. Identify characteristics of compassion 3. Demonstrate characteristics of compassion 4. describe how govemment policy can solve the problem of disunity
11,Revision,
12-13,EXAMINATION,
