0,1,2
,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
,Information Technology Scheme of Work for Primary/Basic 1,Information Technology Scheme of Work for Primary/Basic 1
,CLASS,Primary/Basic 1
,SUBJECT,Information Technology
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1-2,BASIC COMPUTER -What is a computer. – Use of computer in a society.,By the end ofthe lesson„ pupils should be able to: i. Define a computer ii. outline the use of the computer in various aspect of the society.
3-4,PART OF THE COMPUTER -Description of part of the computer,By the end of the lesson. pupils should be able to; i. recognize and name the various part of the computer.
5-6,Parts of a computer -Monitor -Mouse,"By the end of the lessson, pupils should be able to: i. Describe the monitor and mouse. ii. Outline the functions of monitor and mouse."
7,MID-TERM BREAK,MID-TERM BREAK
8-9,KEYBOARD,By the end of the lesson pupils should be able to; i.Outline the basic functions of the keyboard. ii.Recognize the major keys on the keyboard.
10,CPU,By the end of the lesson pupils should be able to; i. describe the functions of CPU.
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
