0,1,2
,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS.,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS.
,Basic Science Scheme of Work for Primary/Basic 1,Basic Science Scheme of Work for Primary/Basic 1
,CLASS,Primary/Basic 1
,SUBJECT,Basic Science & Technology
,TERM,First Term
WEEK,TOPIC,Learning Objectives
1,LIVING THINGS -Meaning of living things in the school environment. -Living things in the school environment.,"By the end ofthe lesson„ pupils should be able to: i. Explain living things as things that have can bmathe, cat, move, reproduce etc.; ii. analyse examples of living bling; iii. Idendfy living things in school environment."
2,LIVING THINGS II,"By the end of the lesson. pupils be able to: i. explain things that are living things, ii. mention living things at home. ii. evaluate characteristics of living things at home;"
3,NON-LIVING THINGS -Meaning of non-living things -Non-living things in the classroom. -Non-livimg things at home.,"By the end of the lesson. pupils should be able to; i. describe non-living things as things that has no life: they do not breath, move, eat or reproduce; ii. mention examples of non-living things in the school; iii. identify non-living things at home; iv. analyze the reason non living things at home and in school cannot eat, breath, reproduce or move."
4,ENERGY I: Meaning and uses of energy.,By the end of the lesson. pupils should be able to; i. explain the meaning of energy; ii. list things energy can be used for; iii. describe types of energy.
5,Energy Il Sources of energy;,"By the end of the lessson, pupils should be able to: i.Explain energy, ii.List the source of energy; iii. explain the uses energy."
6,Energy III Energy Transformation,By the end of the lesson„ pupils should be able to: I. explain energy transformation; ii. analyse examples of energy transformation; iii. demonstrate how to transfer energy: iv. appraise enery transformations in their daily acüvities.
7,CONTINUOUS ASSESSMENT MID TERM BREAK,CONTINUOUS ASSESSMENT MID TERM BREAK
8,Energy IV -Light energy sources; -Natural sources of light; -Artificial sources of light.,By the end of the lesson pupils should be able to; i. explain the meaning of light; ii. discuss the natural sources of light; iii. analyse artificial sources of light iv. assess the importance of artificial and natural light in their environment.
9,Water -Meaning -Sources,By the end of the lesson pupils should be able to; i. define the word water; ii. describe water; iii. distinguish between water and other liquids.
10,Water -Uses of Water,"By the end of the lesson pupils should be able to; i. identify the composition of water; ii. describe the properties of water; iii. mention the uses of water to living things; plants, animals etc."
11,REVISION,
12,EXAMINATION,
