0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,History
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,WELCOME TEST AND REVISION OF FIRST TERM WORK,"By the end ofthc lesson, pupils should be able to: -revise all the learning objcctivcs used during the first term"
2-3,MAJOR TOWN IN LAGOS STATE,"By the end of the lesson, Pupils should be able to: I.Define town and city 2.Discuss the origin of major in Lagos state 3.List the three major occupations in these towns 4.List some educational institution found in these towns"
4-5,THE EARLIEST SETTLERS OF THE MAJOR TOWNS IN LAGOS,"By the end ofthe lesson, pupils should be able to: I.Define town and cities 2.name the earliest settlers in each of towns in the map of Lagos 3.Name the earliest Settlers in Lagos state 4.Detemine the reasons or factors that attracted settlers to these major towns in Lagos Stat"
6,THE GEOGRAPHY OF MAJOR TOWNS IN LAGOS,"By the end of the lesson, pupils should be able to: 1. Define geography 2.Define the term Topography"
7,Mid Term Break,Mid Term Break
8-9,SOCIAL AND POLITICAL DEVELOPMENT OF THE MAJOR TOWNS IN LAGOS,"By the end of the lesson, pupils should be able to: I.Explain the meaning of social development 2,Explain the meaning of Political development 3.Examine the relationship among the settlers of the major towns in Lagos"
10,"HEROES IN LAGOS STATE: OGUNFUNMINIRE,KANDIDO, DA ROCHA E.T.C","By the end of the lesson, pupils should be able to: I.Explain the meaning of hcro 2,Namc the place and (late of birth of these heroes 3.Tell the contribution of these heroes to the dcvclopmcnt of Lagos state"
11,HEROINES IN LAGOS STATE ; MADAM EFUNRO TINUBU AND OTHERS,"By the end ofthc lcsson, pupils should be able to: 1. Explain the meaning of heroine 2,Name the place and date of birth of these heroines 3.Tell the contribution of these heroines to the development of Lagos state"
12,REVISION,All learning objectives employed during first and second tern
13,EXAMINATION,EXAMINATION
