0,1,2
,CLASS,Primary/Basic 3
,SUBJECT,Basic Science and Technology
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Revision of 1st term work,Revision of 1st tem work
2(Basic Science),Air In Motion I -Wind -Meaning of wind -Effects of wind,"By the end of the lesson, pupils should be able to: i. explain the meaning of wind; ii. describe the effect of wind on human and non-living things balloons,windmill etc) ; iii. demonstate how wind works."
(IT),System Application -Microsoft office -Encarta -Games -Mavis Beacon,i. Explain the term system application ii. Identify the various types of system application
(PHE),Ball Games -Football,"By the end of the lesson, pupils should be able to i. List basic skill fooball e.g (Passing, kicking, trapping, treading and throwing) ii. Demonstrate the basic skill in football (easing, heading, kicking and tapping throwing) iii. Perform some basic skill and techniques in football perfectly e.g läcking, trapping, and shooting etc"
3(Basic Science),Air in Motion Il -Harmful effects of wind,"By the end of the lesson, pupils should be able to: i. identify the useful effect of wind ii. explainthe harmful effect of wind on living and non-living things. iii. demostrate the bad effect of wind."
(IT),System Application -Microsoft office -Mavis Beacon,"By the end of the lesson, pupils should be able to i. identify the various types of system application."
(PHE),Ball Games -Safety rules in football,"By the end of the lesson, pupils should be able to i. Explain safety rules in football games ii. Describe the safety rules in football games."
4(Basic Science),Water -Uses of water -sources of water -conposition of water,"By the end of the lesson, pupils should be able to i. explain the method of obtaining water in their localities ii. sources of water iii. examine the composition of water iv. describe uses of water v. analyze the importance of water."
(IT),Difference between hardware and software,-Compare and contrast between hardware and software
(PHE),Tennis,"By the end of the lesson, pupils i. Discuss the brief histoty of tennis ii. Mention the basic skills in tennis e.g forehand drive, backhand drive, service etc. iii. Demonstrate the basic skills in tennis e.g service, forehand drive.backhand drive etc"
5(Basic Science),Qualities of water -Meaning of water -Qualifies of good/pure -Contamination of water -Dangers of drinking bad water,"By the end of the leson, pupils should be able to i. mention the methods of determining good quality water from their past ii. the qualities of good water iii. differentiate between good and bad water, iv. list the qualities of good water; v. substances that can contaminate water making it unfit for use; vi. discuss the dangers of drinkng bad water."
(IT),Components of CPU -Control Unit,i. Outline the various component of the CPU ii. Define control unit iii. Outline the function of the control unit
(PHE),Tennis Safety rules,"By the end of the lesson, pupils should be able to i) Demonstrate the basic skills e,g grip, service, forehand drive ji) Demonstrate the back hand dnve perfectly iii) Mention the safety rules in Tennis garne iv) State the safety rules in basic skills and techniques of tennis game"
6(Basic Science),Water – Purifying water -Reasons for purifying water -Methods of purifications,"By the end of the lesson, pupils should be able to: i. identify the reason for purifying water; ii. explain different various methods of purifying water like boiling filtering, adding alum etc; iii. demonstrate med10ds of purifying water"
(IT),Components of CPU -Arithmetic -Login Unit -Storage Unit,i. Explain the term Arithmetic ii. Login Unit and Storage unit iii. Outline the function of Arithmetic Login Unit and storage Unit
7,MID-TERM- ASSESSMENT,MID-TERM- ASSESSMENT
8(Basic Science),Water – Packaged water -Reasons for packaging -Samples of packaged water -Features of safe packaged water,"By the end of the lesson, pupils should be able to: i. compare packaged hater with unpackaged ones; ii. identify different packaged water, iii. discuss reasons for packaging water iv. describe the features of safe packaged water"
(IT),Components of CPU -Arithmetic Login unit -Storage Unit,i. Explain the term arithemetic ii. Login Unit and Storage unit iii. Outline the function of Arithmetic Login Unit and storage Unit
8-9(PHE),Ball game -Basket ball,By the end of the lesson; pupils should be i) Narrate the brief history of Basket ball ii) Demonstrate the basic skills in basketball game iii. List the basic skills and techniques in basketball game iv. Differentiate between facilities and equipment in basketball game v. Safety rules in basketball games
9(Basic Science),"Soil I – Imporünce to plants -Componens of the soil, -Uses of soil to plants","By the end of tie lesson, pupils should be able to: i. identify’ the components of soil; ii. discuss the uses of soil to plants: iii. Medium for plant to grow iv. Sources of nutrients and air v. demonstrate the planting of the secd in the soil"
(IT),Input devices -Mouse -Keyboard -Scanner -Flash drive -Hard drive etc,i. Define input devices ii. Outline the functions of the various types of input devices
10(Basic Science),Soil Il- Importance to animals -Animal in the soil. -Uses of soil to animals,"By the end of the lesson, pupils should be able to: i. identify animals living in the soil (earthworms etc); ii. discuss the uses of soil to animals: iii. surface for human activities like farming, building, pottery making etc.; iv. highlight the nutrients animals derive from the soil"
(IT),Launching of Microsoft word,Locate and launch Microsoft word
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
