0,1,2
,CLASS,Primary/Basic 5
,SUBJECT,Cultural and Creative Art
,TERM,Third Term
Week,TOPICS,Learning Objectives
1,Modelling Papier Mache Readiness Test,"By the end of the lesson, pupils should be able to: i. state the meaning of papier mache; ii. identify materials used in papier mache e.g. paper, gum, etc.; iii. name objects produced using papier mache e.g. cup, plate, etc.; iv. make object using papier mache."
2,Classification of Musical Instrument and Sound they produce,"By the end ofthe lesson, pupils should be able to: i. explain the meaning of musical instument; ii. classify Nigerian musical instrument based on types, sound etc.; iii. classify foreign musical instument based on types, sound, uses etc."
3,Meaning and Objective of Tradiition Apprenticeship System,"By the end of the lesson, pupils should be able to: i. define apprericeship system: ii. list some trades where apprenticeship system is practiced.’ iii. list the objectives of apprenticeship system."
4,Fabric Decoration by tie and dye methods,"Byheend oftle lesson, pupils should be able to: i. explain fabric decoration in he class; ii. mention methods used in fabric decoradon e.g. stitching, tying etc.; iii. list the material used in fabric decoraüon; iv. produce tie and dye"
5,Rhythemic Pattern,"By the end of he lesson, pupils should be able to: i. state the meaning of rhythm; ii. mention the types of rhythm; iii. clap simple pattem of rhythm."
6,Definition of Drama,"By the end of the lesson, pupil should be able to: i. define drama and explain in the class; ii. list the uses of drama in the society; iii. differentiate between drama and theatre."
7,TEST/MID TERM/OPEN DAY,TEST/MID TERM/OPEN DAY
8,Definition of Dance,"By the end of the lesson, pupil should be able to: i. define dance: ii. identify types of dance; iii. perform dance for a partiallar occasion in the school (taditional dance)."
9,Mode of Greeting,"By the end of he lesson, pupil should be able to: i. idenify how to greet in different parts of Nigeria; ii. idenåfy the benefit of greeting; iii. list when and occasion to greet;"
10,Nigerian Musical Instument and Sounds they produce,"By the end of he lesson, pupils should be able to: i. identify different types of Nigerian musical instruments; ii. explain how musical instrument produce sound; iii. list uses of Nigerian musical instruments."
11,REVISION,REVISION
12-13,EXAMINATION,EXAMINATION
