0,1,2
,CLASS,Primary/Basic 1
,SUBJECT,Information Technology
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Reading test/revision of last term work,
2,Parts of a computer (peripherals). -Printer & scanner -Hard disk -Flash drive -OTG &USB cable -RAM &ROM etc.,"By the end of the lesson, pupils should be able to: i. Identify and describe the other parts of a computer. ii. State the functions of the other parts of the computer."
3,Starting -up of a computer -From power source to power button,"By the end ofthe lesson ,pupils should be able to; i. Repeat the starting – up procedure of a computer."
4,Starting— up of a computer -From power source to power button,"By the end ofthe lesson ,pupils should be able to: i. Repeat the starting — up proedure of a computer."
5,Basic safety for computers,"By the end ofthe lesson ,pupils should be able to: i. Outline the basic safety procedures of a computer"
6,Computer room -Definition -Uses of a computer room,"By the end ofthe lesson ,pupils should be able to: i.Define a computer room ii. Outline uses of a computer room"
7,MID-TERM BREAK,MID-TERM BREAK
8-9,Computer room -Activities in a computer room x -Things found in a computer room,"By end ofthe lesson, pupils should be able to: i.Articulate activities in a computer room ii. Outline things found in a computer room."
10,Basic Safety for computer room,"By the end ofthe lesson ,pupils should be able to: i. Outline the basic safety procedures of a computer room."
11,Revision,Revision
12,EXAMINATION,EXAMINATION
