0,1,2
,CLASS,Primary/Basic 3
,SUBJECT,Security Education
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Revision of Last Term’s Work,
2,Identification of Criminal Behavior,"By the end of this lesson, pupils should be able to: i Describe Criminal Behavior ii. Avoid criminal behavior in school and at home"
3,"Cause of Crime e.g. Poverty. Parental Neglect, DrugAbuse",By the end of this lesson pupils should be able to: i. Explain the causes of crime in the society
4,Categories of Crime e.g. Personal and state,"By the end ofthis lesson, pupils should be able to: i Differentiate between the two categories of crime e.g. personal and state crime"
5,Factor Affecting Criminal Behaviour,"By the end of the lesson, pupils should be able to: i. Enumerate the factors that affect criminal behavior"
6,Common Criminal Behavior,"By the end ofthis lesson, pupils should be to: i. Explain common criminal behavior ii Identify the effect of common criminal behavior in the society"
7,MID-TERM BREAK,MID-TERM BREAK
8,Common Criminal Bchaviour: Examination Malpractice,"By the end of this lesson, pupils should be able to: i. Explain the meaning of examination malpractice ii. Outline the causes of examination malpractice"
9,"Preventive Measures of Common Crimes, Primary Prevention","By the end of this lesson, pupils should be able to: i. Analyze the ways to prevent common crimes"
10,"-Preventive Measure of Common Crimes -create, Implement and monitor a national security","By the end ofthis lesson, pupils should be able to: i. Create and implement policy that helps to monitor a national security"
11,Preventive measures against theft III -Seek international responds to global crimes,"By the end of this lesson, pupils should be able to; i. Describe theft ii. Indicate the preventive measures that can be taken against theft"
12,REVISION,REVISION
13,EXAMINATION,EXAMINATION
