0,1,2
,CLASS,Primary/Basic 4
,SUBJECT,Security Education
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Revision of 2nd term work Students readiness assessment,"i. evaluation of 2nd term work/ treating of 2nd term past questions, ii responds to various uestions."
2,Important phone numbers and their uses,"By the end of the lesson, pupils should be able to: i) identify important phone numbers to contact in case of danger e.g. 112 or 119, ii) outline the appropriate line in time of danger. iii) mention the right personnel to contact in danger"
3,Emergency phone numbers in Nigeria -list of government emergency lines,"By the end of the lesson, pupils should be able to: (i) enumerate emergency lines of the following security organizations e.g. (ii) inspector general of police (IGP) 08059666666 (sms only), (iii) State security service (SSS) 08132222105-9, (iv) Federal road safety corps (FRSC) 122, 07002255372"
4,List of government emergency lines (Contd),"By the end of the lesson, pupils should be able to: (i)state the emergency lines of the following security organizations; (ii) Lagos emergency service 767 or 112 (this covers police, ambulance service and traffic service), (iii) Lagos state traffic management authority (LASTMA) 08029228271 (GM), 08023386921 (Provost), iv Police 112, 199."
5,List of personnel to contact during emergency,"By the end of the lesson , pupils should be able to: (i) enumerate the following personnel contacts during emergency e.g. police, neighborhood watch, FRSC, LASTMA, free service, NAFDAC etc."
6,Emergency situations that could be reported -robbery -Accident -Sexual abuse,"By the end of the lesson, pupils should be able to: (i) explain the term ‘Emergency’ (ii) identify emergency that could be reported e.g. robbery, accident, flood, fire outbreak, kidnapping, raping etc."
7,MID TERM BREAK,MID TERM BREAK
8,Lagos state emergency services and call numbers.,"By the end of the lesson, pupils should be able to: (i) State Lagos emergency services and call numbers e.g. Lagos zonal commander FRSC 08033706639, 01-7742771, 017944929, ii. KAI brigade (for orientation services and organization) 0802306632, 08055284914, Lagos emergency service 767, 112 etc."
9,Lagos emergency services and call number (contd),"By the end of the lesson, pupils should be able to: (i) State Lagos emergency services and call numbers e.g. LASTMA ( Traffic emergency numbers) 08075005411, 08023111742, 08023909364, ii. Police emergency phone numbers (Lagos State) 014931260, 014978899, iii. Rapid response squad (RRS) 07055350249, 07035068242, 08079279349"
10,Revision,Revision
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
