0,1,2
,CLASS,Primary/Basic 1
,SUBJECT,Basic Science & Technology
,TERM,Second Term
WEEK,TOPIC,Learning Objectives
1,Reading test/revision of last term work,
2,Existence of Air & creation of air.,"By the end of the lesson, pupils should be able to i. demonstrate that air exists; ii. create air current by blowing with the mouth or using paper fan; iii. demonstrate the importance of air to living thing."
3,Demonstrating air in space,"By the end ofthe lesson ,pupils should be able to i. demonstrate that air occupies space; ii. discover that air exerts pressure."
4,Soil,"By the end of the lesson, pupils should be able to: i. Discover soil as other part of the surrounding; ii. Define soil; iii. Uses of soil."
5,Soil -Things found in the soil -Importance of soil,"By the end of the lesson, pupils should be able to: i. Mention things in the soil as air, water, and living things; ii. state the uses of soil to plant; iii. identify the uses of soil to man and animals."
6,"Light Energy, uses of light and colour","By the end of the lesson„ pupils should be able to: identify the various uses of li# lt explain the importance of colour x appraise the connection betv,reen lightand colour"
7,REVIEW OF FIRST HALF TERM WORK AND ASSESSMENT,REVIEW OF FIRST HALF TERM WORK AND ASSESSMENT
8,COLOUR IDENTIFICATION 1: -Colors of objects.,"By the end of the lesson, pupils should be able to: i. explore and identify different colours; ii. search for and collect materials of different colours; iii)draw objects and use different colours to paint them."
9,COLOUR IDENTIFICATION Il: -Road traffic light signs.,By the end of the lesson„ pupils should be able to: i. analyse road traffic signs; ii. state the function of each road traffic light signs; iii. explain roadway signs. iv. appraise the importance of road signs.
10,COLOUR IDENTIFICATION Ill: Road markings,"By the end of the lesson, pupils should be able to : i) identify the colours used in road markings and traffic signs; ii. state the functions of road traffic signs. iii. interpret the road traffic signs"
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
