0,1,2
,CLASS,Primary/Basic 6
,SUBJECT,Basic Science
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,REVISION AND READINESS TEST,
2,Simple machine(lever) -Definition of simple machine -Definition and examples of a lever -Types and parts of a lever -Uses of a lever,"By the end of the lesson, pupils should be able to: 1. explain what a simple machine is 2. define what a lever means and state some examples 3. draw and label different types of lever 4. discuss the use of lever"
3,Pullley,"By the end of the lesson, pupils should be able to: 1. explain and identify pulley 2. examine different uses of pulley in everyday life 3. distinguish between fixed and moveable pulley 4. make and use pulley to do everyday work"
4,Incline planes (meaning): -examples of incline planes -construction of indined plane. -advantages of inclined plane,"By the end of the lesson, pupils be able to: 1. Mention examples of inclined planes; 2. Construct and use inclined planes to move objects; 3. State the advantages of inclined plane."
5,"FORCES: Meaning of force (as a push or pull) Example, of forces; Types of force Effects of force on materials.","By the end of the lesson, pupils be able to: 1. Develop a definition for force: 2. Mention some examples of force; 3. state the types of force 4. Analyze the effects of force on materials"
6,Frictional force,"By end of the lesson, pupils be able to: 1. explain fictional force; 2. describe instances of the application of frictional force in daily activities; 3. discuss the advantage and disadvantages of frictional force 4-relate frictional force to daily activities"
7,MID TERM BREAK,
8,"Water Project -Meaning of water project -Example of water project in Nigeria e.g dam, lake, river. canal e.t.c. -Benefit and hazards.","By the end of the lesson, pupils be able to: 1. develop a definition for water project; 2. list some examples of water projects in Nigeria 3. analyze the benefits and hazards of water projects."
9,CONTINOUS ASSESSMENT,
10,REVISION,
11,REVISION,
12,REVISION,
13,EXAMINATION,
